profile_id,goal,equipment,experience,time_per_day,days_per_week,plan_id
P1_1000,build_muscle,gym,intermediate,70,6,P1
P1_1001,build_muscle,gym,intermediate,50,5,P1
P1_1002,build_muscle,gym,intermediate,70,6,P1
P1_1003,build_muscle,gym,beginner,60,6,P1
P1_1004,build_muscle,gym,beginner,50,4,P1
P1_1005,build_muscle,gym,intermediate,50,4,P1
P1_1006,build_muscle,gym,intermediate,70,6,P1
P1_1007,build_muscle,gym,intermediate,50,6,P1
P1_1008,build_muscle,gym,intermediate,50,5,P1
P1_1009,build_muscle,gym,intermediate,60,4,P1
P1_1010,build_muscle,gym,intermediate,60,5,P1
P1_1011,build_muscle,gym,beginner,50,4,P1
P1_1012,build_muscle,gym,advanced,70,5,P1
P1_1013,build_muscle,gym,advanced,70,5,P1
P1_1014,build_muscle,gym,intermediate,60,5,P1
P2_1000,build_muscle,none,beginner,50,3,P2
P2_1001,build_muscle,none,beginner,50,5,P2
P2_1002,build_muscle,none,beginner,30,3,P2
P2_1003,build_muscle,none,advanced,30,5,P2
P2_1004,build_muscle,none,beginner,40,3,P2
P2_1005,build_muscle,none,beginner,40,5,P2
P2_1006,build_muscle,none,beginner,50,4,P2
P2_1007,build_muscle,none,beginner,30,3,P2
P2_1008,build_muscle,none,beginner,40,4,P2
P2_1009,build_muscle,none,advanced,50,5,P2
P2_1010,build_muscle,none,beginner,30,4,P2
P2_1011,build_muscle,none,intermediate,40,4,P2
P2_1012,build_muscle,none,beginner,30,6,P2
P2_1013,build_muscle,none,beginner,40,5,P2
P2_1014,build_muscle,none,intermediate,50,6,P2
P3_1000,lose_weight,basic,intermediate,30,6,P3
P3_1001,lose_weight,basic,intermediate,50,4,P3
P3_1002,lose_weight,basic,intermediate,40,5,P3
P3_1003,lose_weight,basic,intermediate,30,6,P3
P3_1004,lose_weight,basic,beginner,30,6,P3
P3_1005,lose_weight,basic,intermediate,30,3,P3
P3_1006,lose_weight,basic,intermediate,40,6,P3
P3_1007,lose_weight,basic,intermediate,40,6,P3
P3_1008,lose_weight,basic,advanced,30,5,P3
P3_1009,lose_weight,basic,intermediate,50,3,P3
P3_1010,lose_weight,basic,intermediate,40,5,P3
P3_1011,lose_weight,basic,intermediate,30,3,P3
P3_1012,lose_weight,basic,beginner,50,6,P3
P3_1013,lose_weight,basic,advanced,30,5,P3
P3_1014,lose_weight,basic,advanced,40,3,P3
P4_1000,build_muscle,gym,advanced,50,6,P4
P4_1001,build_muscle,gym,advanced,50,4,P4
P4_1002,build_muscle,gym,advanced,70,6,P4
P4_1003,build_muscle,gym,advanced,60,4,P4
P4_1004,build_muscle,gym,intermediate,60,4,P4
P4_1005,build_muscle,gym,intermediate,50,5,P4
P4_1006,build_muscle,gym,advanced,50,6,P4
P4_1007,build_muscle,gym,advanced,50,6,P4
P4_1008,build_muscle,gym,advanced,50,6,P4
P4_1009,build_muscle,gym,advanced,70,6,P4
P4_1010,build_muscle,gym,intermediate,70,4,P4
P4_1011,build_muscle,gym,advanced,70,5,P4
P4_1012,build_muscle,gym,advanced,70,6,P4
P4_1013,build_muscle,gym,advanced,70,5,P4
P4_1014,build_muscle,gym,advanced,70,6,P4
P5_1000,lose_weight,none,intermediate,20,4,P5
P5_1001,lose_weight,none,intermediate,40,3,P5
P5_1002,lose_weight,none,intermediate,20,5,P5
P5_1003,lose_weight,none,beginner,40,3,P5
P5_1004,lose_weight,none,intermediate,20,3,P5
P5_1005,lose_weight,none,beginner,20,4,P5
P5_1006,lose_weight,none,intermediate,20,4,P5
P5_1007,lose_weight,none,intermediate,40,5,P5
P5_1008,lose_weight,none,intermediate,30,5,P5
P5_1009,lose_weight,none,intermediate,20,4,P5
P5_1010,lose_weight,none,intermediate,30,5,P5
P5_1011,lose_weight,none,intermediate,40,4,P5
P5_1012,lose_weight,none,intermediate,40,3,P5
P5_1013,lose_weight,none,beginner,40,3,P5
P5_1014,lose_weight,none,advanced,20,4,P5
P6_1000,endurance,basic,intermediate,50,4,P6
P6_1001,endurance,basic,intermediate,30,6,P6
P6_1002,endurance,basic,intermediate,30,5,P6
P6_1003,endurance,basic,advanced,50,6,P6
P6_1004,endurance,basic,beginner,50,3,P6
P6_1005,endurance,basic,advanced,30,3,P6
P6_1006,endurance,basic,intermediate,40,4,P6
P6_1007,endurance,basic,advanced,30,4,P6
P6_1008,endurance,basic,intermediate,40,4,P6
P6_1009,endurance,basic,advanced,40,5,P6
P6_1010,endurance,basic,intermediate,50,5,P6
P6_1011,endurance,basic,intermediate,40,6,P6
P6_1012,endurance,basic,advanced,50,4,P6
P6_1013,endurance,basic,intermediate,30,3,P6
P6_1014,endurance,basic,intermediate,50,3,P6
P7_1000,lose_weight,none,beginner,30,5,P7
P7_1001,lose_weight,none,intermediate,20,3,P7
P7_1002,lose_weight,none,beginner,20,5,P7
P7_1003,lose_weight,none,beginner,30,4,P7
P7_1004,lose_weight,none,beginner,20,3,P7
P7_1005,lose_weight,none,beginner,30,5,P7
P7_1006,lose_weight,none,beginner,20,5,P7
P7_1007,lose_weight,none,beginner,30,4,P7
P7_1008,lose_weight,none,beginner,20,4,P7
P7_1009,lose_weight,none,beginner,20,3,P7
P7_1010,lose_weight,none,beginner,20,4,P7
P7_1011,lose_weight,none,beginner,30,3,P7
P7_1012,lose_weight,none,beginner,20,3,P7
P7_1013,lose_weight,none,beginner,20,5,P7
P7_1014,lose_weight,none,intermediate,20,3,P7
P8_1000,flexibility,none,beginner,40,4,P8
P8_1001,flexibility,none,beginner,40,5,P8
P8_1002,flexibility,none,beginner,40,5,P8
P8_1003,flexibility,none,intermediate,20,4,P8
P8_1004,flexibility,none,beginner,20,3,P8
P8_1005,flexibility,none,beginner,30,5,P8
P8_1006,flexibility,none,beginner,40,4,P8
P8_1007,flexibility,none,beginner,40,4,P8
P8_1008,flexibility,none,beginner,30,4,P8
P8_1009,flexibility,none,beginner,30,3,P8
P8_1010,flexibility,none,beginner,30,4,P8
P8_1011,flexibility,none,beginner,30,3,P8
P8_1012,flexibility,none,intermediate,40,3,P8
P8_1013,flexibility,none,beginner,20,5,P8
P8_1014,flexibility,none,beginner,40,3,P8
P9_1000,build_muscle,basic,intermediate,50,4,P9
P9_1001,build_muscle,basic,intermediate,50,6,P9
P9_1002,build_muscle,basic,beginner,50,4,P9
P9_1003,build_muscle,basic,advanced,40,4,P9
P9_1004,build_muscle,basic,intermediate,40,6,P9
P9_1005,build_muscle,basic,intermediate,50,5,P9
P9_1006,build_muscle,basic,intermediate,40,6,P9
P9_1007,build_muscle,basic,advanced,40,4,P9
P9_1008,build_muscle,basic,beginner,60,5,P9
P9_1009,build_muscle,basic,intermediate,50,5,P9
P9_1010,build_muscle,basic,advanced,40,6,P9
P9_1011,build_muscle,basic,intermediate,60,5,P9
P9_1012,build_muscle,basic,intermediate,40,4,P9
P9_1013,build_muscle,basic,intermediate,50,5,P9
P9_1014,build_muscle,basic,intermediate,40,5,P9
P10_1000,build_muscle,gym,beginner,50,4,P10
P10_1001,build_muscle,gym,advanced,50,5,P10
P10_1002,build_muscle,gym,advanced,70,5,P10
P10_1003,build_muscle,gym,advanced,70,5,P10
P10_1004,build_muscle,gym,advanced,50,5,P10
P10_1005,build_muscle,gym,intermediate,60,5,P10
P10_1006,build_muscle,gym,intermediate,60,4,P10
P10_1007,build_muscle,gym,advanced,60,5,P10
P10_1008,build_muscle,gym,advanced,70,5,P10
P10_1009,build_muscle,gym,advanced,70,4,P10
P10_1010,build_muscle,gym,intermediate,70,4,P10
P10_1011,build_muscle,gym,beginner,70,5,P10
P10_1012,build_muscle,gym,advanced,70,6,P10
P10_1013,build_muscle,gym,advanced,60,6,P10
P10_1014,build_muscle,gym,intermediate,70,5,P10
